job_id,title,company,location,db_level,title_level,final_level,confidence,needs_review,reason
280,Staff Penjualan / Sales,PT. NAGA BUSINESS INDONESIA,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
283,Junior Graphic Designer,CV Subur Kimia Jaya,Bandung Kota,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
287,General Manager Finance,PT PUTRA KURNIA PROPERTI,Jakarta Selatan,CEO / GM / Director / Senior Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
288,General Manajer Teknik Desain,PT PUTRA KURNIA PROPERTI,Jakarta Selatan,CEO / GM / Director / Senior Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
289,General Manager Marketing,PT PUTRA KURNIA PROPERTI,Jakarta Selatan,CEO / GM / Director / Senior Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
290,Staff Drop Point,Anteraja Padangsambian Kaja📲𝟬𝟴𝟭𝟵𝟱𝟮𝟲𝟲𝟮𝟯𝟵𝟲☎️,Bangli,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
292,Site Manager Proyek,PT Raja Properti Andalan,Malang,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
297,Treasury / Staff Keuangan,PT Indo Bahagia Sejahtera,Jakarta Utara,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
301,Asisten Dokter Gigi,PT. Cipta Pahala Sejahtera,Jakarta Timur,Staff / Officer,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
303,Supervisor,PT Mawartri Muktireksa (Serabi Mawar),Jakarta Selatan,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
308,Manager Area Regional,PT. Pegasus Prima Sakti,Jakarta Utara,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
315,Assistent President Direktur,PT METINDO PERKASA,Jakarta Pusat,Junior / Entry Level,director,director,0.8,True,"High confidence from title (80%), overriding database"
318,Sales Manager,Sobat Sehat IDN,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
325,Senior Finance Tax,PT Surya Mutiara Atmajaya,Surabaya,Supervisor / Coordinator,senior,senior,0.95,True,"High confidence from title (95%), overriding database"
328,Kitchen Staff,CV RI Food International,Jakarta Barat,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
330,Marketing Manager,PT. Givi Armada Sarana - GIVI RENT CAR,Tangerang Selatan,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
332,Senior Marketing,HORIZON TOUR,Jakarta Selatan,Supervisor / Coordinator,senior,senior,0.95,True,"High confidence from title (95%), overriding database"
334,Sales Admin Assistant,PT. Bali Moda Busana,Badung,Staff / Officer,assistant,assistant,0.8,True,"High confidence from title (80%), overriding database"
338,Staff Packer / Picker,ULTRA 2000,Jakarta Pusat,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
340,Staff Accounting,Deta Group,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
345,Staf Laundry,Vinsclean Indonesia,Sidoarjo,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
347,Finance Staff,Deta Group,Jakarta Utara,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
349,Ocean Freight Manager,PT. Dartair Expressindo,Jakarta Pusat,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
350,Supervisor Cleaning Service,PT Solusi Layanan Terpadu,Kendari,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
351,Marketing Manager,PT Sinergi Cemerlang Abadijaya,Jombang,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
353,Sport Club Supervisor,PT. Padel Kita Cuan,Remote,Supervisor / Coordinator,supervisor,supervisor,0.8,True,"High confidence from title (80%), overriding database"
354,Staff HRD,BENBOYS,Surabaya,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
357,Staff Kasir Billiard,BANG X BANG Billiard,Jakarta Timur,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
361,Supervisor Toko,Peko Pet Care & Shop,Pekalongan,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
362,Padel Court Manager,PT Traya Prakarsa Loka,Bandung Kota,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
363,Junior Arsitek,Flerium Arsitera,Remote,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
365,Staff Driver,PT SUARA AGUNG,Jakarta Timur,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
367,IT Staff,PT Padel Sejahtera Nusantara,Surabaya,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
369,Staff Entry Data Processing,PT Gaido Cito Ekakurindo,Jakarta Pusat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
370,Business Marketing Manager,PT Semesta Mendukung Bumi,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
371,Staff Admin,Century 21 Indonesia,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
374,Staff Keuangan,Royal Warehouse,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
375,Staff Kantor Notaris,"Kantor Notaris Tjio Lily Indrawati, S.H., M.Kn",Surabaya,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
380,Finance Supervisor,PT.HETERO NIAGA GLOBAL,Semarang,Supervisor / Coordinator,supervisor,supervisor,0.8,True,"High confidence from title (80%), overriding database"
381,Staf Gudang,ERAPOINT GROUP,Jakarta Pusat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
383,Supervisor Operasional Catering,Arba Citra Rasa,Jakarta Selatan,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
384,Manager Operasional Outlet (Multi Outlet),Arba Citra Rasa,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
385,Manager Operasional Catering (Multi Dapur),Arba Citra Rasa,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
388,Sales Associate,Home Credit Indonesia - Malang,Malang,Junior / Entry Level,associate,associate,0.8,True,"High confidence from title (80%), overriding database"
392,Kepala Toko,CV SEMOLIS JAYA,Bogor,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
395,Staff / Kasir Outlet,Cv Semangat Maju Utama (SMU),Bogor,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
397,Staff Layanan Asrama,Laznas Sahabat Yatim Indonesia,Samarinda,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
405,Head of Financial Controller,Arba Citra Rasa,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
407,Kepala Cabang,Max Cleaning,Kota Yogyakarta,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
408,Supervisor Cafe,PT ARTHA MULIA TRIJAYA,Tangerang Selatan,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
416,Regional General Manager,PT. EXCELLENT HEAVY INDUSTRIES,Remote,CEO / GM / Director / Senior Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
421,Asisten Apoteker TTK,Klinik WINS MEDIKA,Palembang,Staff / Officer,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
428,Supervisor Travel Consultant,PT Lex and People Consulting,Jakarta Timur,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
430,Staff Admin Proyek,PT. Urbanworks Asia,Jakarta Selatan,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
435,Asisten Koki,Iboih Inn Resort and Resto,Sabang,Junior / Entry Level,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
436,HSE Staff,PT Pengelola Landmark Pluit,Jakarta Utara,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
438,Finance Staff,PT. DAPENG MAOYI INDONESIA,Tangerang,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
442,Senior Finance Accounting,PT. BERANDA PADEL LESTARI,Bandung Kota,Supervisor / Coordinator,senior,senior,0.95,True,"High confidence from title (95%), overriding database"
443,Staff Administrasi Operasional,PT. BERANDA PADEL LESTARI,Bandung Kota,Supervisor / Coordinator,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
450,Staff Admin Kantor,PT Aberline Karya Sejahtera,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
451,Staff Exim,PT.SKY SOLUTION INDONESIA,Cikarang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
452,Kepala Pabrik,PT BERKAH KUARSA MAKMUR,Bandar Lampung,Manager / Assistant Manager,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
453,Kepala Teknisi Listrik,PT BERKAH KUARSA MAKMUR,Bandar Lampung,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
454,Junior Drafter SketchUp & AutoCAD,PT Aberline Karya Sejahtera,Bandung Kota,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
456,Staff Marketing,Lalalamp,Bandung Kabupaten,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
457,Staff Keuangan,PT MULTI ADIRA PLASINDO,Bandung Kota,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
459,Staff Kurir,PT. SURYA KREASI PRATAMA,Jakarta Barat,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
460,Staff Purchasing Import Bahan baku,PT.SKY SOLUTION INDONESIA,Cikarang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
463,Staff Logistik,PT. Global Solusi Sejahtera,Bogor,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
465,Supervisor Engineering,PT Kwarsa Indah Murni,Kabupaten Tangerang,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
466,Staff Purchasing,PT Kwarsa Indah Murni,Kabupaten Tangerang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
469,Kepala Produksi,PT. Kediri Matahari Corn Mills,Kediri,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
470,Staff Sales,PT Hanwa Steel Service Indonesia,Bekasi,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
472,Admin Staff (Mandarin Speaker),PT. KUDA CEPAT HUMAN RESOURCES SERVICE,Jakarta Utara,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
473,Marketing Manager,YAYASAN EL JOHN INDONESIA,Jakarta Barat,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
474,Marketing Staff,YAYASAN EL JOHN INDONESIA,Jakarta Barat,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
475,Sekretaris Direktur,PT Harta Alumina Indonesia,Jakarta Selatan,Manager / Assistant Manager,director,director,0.8,True,"High confidence from title (80%), overriding database"
476,Staff PPIC,PT INDO HASASI TEXTILES,Bandung Kabupaten,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
486,Brand Marketing Manager Fashion Batik,Tarian Mas,Bandung Kota,Supervisor / Coordinator,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
494,Junior Barista,Ponda-C Coffee,Denpasar,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
495,Staff Marketing Support,PT Permata Selaras Karya Mandiri,Jakarta Selatan,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
496,Staff Finishing,CV PRINT & PACK,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
503,Staf Admin,CV Mega Mitra Sentosa,Bandung Kota,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
505,Supervisor Lapangan,CV. Kartika Nugraha Bhakti,Bandung Kota,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
506,Staf Administrasi,Surya Naga Glass,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
515,Staff Data Analis Produk,PT. Suwastama Tumbuemas Sejahtera,Sukoharjo,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
517,Staf Penjualan,ASLI JAYA TEKSTIL,Denpasar,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
519,Junior Tax Consultant,Konsultant Pajak Sony S.E,Surabaya,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
520,Staff Administrasi,Taman Beji Griya Waterfall,Badung,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
521,Staff Accounting,Taman Beji Griya Waterfall,Badung,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
523,Baker Junior,Scones Alley,Kabupaten Tangerang,Junior / Entry Level,junior,junior,0.8,True,"High confidence from title (80%), overriding database"
525,Staff Desainer Grafis Tekstil,Cup-in Design,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
529,Staff Sales Toko,Catur Pilar Sejahtera (Althea Eco Bag),Surabaya,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
530,Personal Assistant,Hotel Winotosastro Garden,Kota Yogyakarta,Staff / Officer,assistant,assistant,0.8,True,"High confidence from title (80%), overriding database"
538,Head Chef Bakery,PT. DANATA GLOBAL MANAGEMENT,Tangerang,Supervisor / Coordinator,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
